"Adduct","AllGroups","Analog:Adduct","Analog:Compound_Name","Analog:Compound_Source","Analog:Data_Collector","Analog:GNPSLibraryURL","Analog:INCHI","Analog:Instrument","Analog:Ion_Source","Analog:IonMode","Analog:Library_Class","Analog:MassDiff","Analog:MQScore","Analog:MZErrorPPM","Analog:PI","Analog:SharedPeaks","Analog:Smiles","Analog:SpectrumID","ATTRIBUTE_Con/Inf","ATTRIBUTE_Gut_section","ATTRIBUTE_Organism","ATTRIBUTE_Pool","ATTRIBUTE_Time_point","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSGROUP:0","GNPSGROUP:1","GNPSGROUP:2","GNPSGROUP:3","GNPSGROUP:4","GNPSGROUP:ACN","GNPSGROUP:AM","GNPSGROUP:Blank","GNPSGROUP:c1","GNPSGROUP:c2","GNPSGROUP:c3","GNPSGROUP:Con","GNPSGROUP:Extraction_blank","GNPSGROUP:H","GNPSGROUP:Inf","GNPSGROUP:No_gut_section","GNPSGROUP:No_timepoint","GNPSGROUP:PBS","GNPSGROUP:PM","GNPSGROUP:R.prolixus_starved","GNPSGROUP:Starved","GNPSGROUP:T.cruzi_epi","GNPSGROUP:T.cruzi_tryp","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
"M+H","N/A","M+H","Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","Isolated","Data deposited by TJLing","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003136135","N/A","HCD","ESI","Positive","3","41.0522","0.962492","53974.4","Data from Tie-Jun Ling","6","N/A","CCMSLIB00003136135","Inf,Con","PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","3,0,1,2","0","5025","56","PC(15:0/16:0); [M+H]+ C39H79N1O8P1","Commercial","Thomas Metz","N/A","0.0","0.0","0.0","0.0","0.0","0.0","24175.29698611116","7568.646249999994","2924.657794117643","2975.2358088235374","0.0","0.0","20705.74987719301","0.0","7363.102111111141","7880.799722222248","8771.741481481491","8005.214438271627","0.0","0.0","7023.142172839505","0.0","0.0","0.0","650.3358333333341","0.0","0.0","12547.86274444446","1222.0727569444505","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003117843","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5025.0"",""main.cluster index_upperinput"":""5025.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=56&task=5a6231ed03724b088fa0055e33397038&show=true","N/A","HCD; Velos","LC-ESI","Positive","1","0.013183600000000002","0.9423090000000001","18.3221","5025","20","719.5338","Thomas Metz","719.5338","12.0836","12.0836","false","5025","7","N/A","CCMSLIB00003117843","1217296.8855000017","N/A"
"","N/A","M+NH4","DG(18:1/22:5/0:0); [M+NH4]+ C43H76N1O5","Commercial","Thomas Metz","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003126921","N/A","HCD; Velos","LC-ESI","Positive","1","61.9319","0.786032","92637.9","Thomas Metz","7","N/A","CCMSLIB00003126921","Inf","H,PM","T.cruzi_tryp","3,1,2","3,0,1,2","0","7481","2","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","7822.826138888882","7129.814250000013","3522.57891911764","2497.6195661764755","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7848.794605263159","7258.1642407407435","0.0","0.0","0.0","2465.4387894736874","0.0","0.0","0.0","8165.434770833337","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""7481.0"",""main.cluster index_upperinput"":""7481.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","7481","10","730.47","","730.47","19.2914","19.2914","false","7481","","","","587911.3035000002","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","604","3","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","96858.51673611111","128261.98400000003","171922.2752058823","183417.08505882364","224012.68625000003","0.0","155317.8343421053","47906.5360000001","135409.96338888875","141641.61087037044","144269.767814815","140440.4473580247","56039.806833333416","170446.9583421052","168645.01393827164","55890.95866666679","113857.19139999987","55742.110500000155","137541.0754561404","152501.34655555524","152501.34655555524","210290.48810000005","84858.03383333335","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""604.0"",""main.cluster index_upperinput"":""604.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","604","156","284.2944","","284.2944","13.7254","13.7254","false","604","","","","2.6743780236E7","N/A"
"","N/A","M+H","(2-{[3-[hexadec-9-en-1-yloxy]-2-(octadecanoyloxy)propyl phosphonato]oxy}ethyl)trimethylazanium","Lysate","UMR CNRS 8038 Universit de Paris","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005724083","N/A","qTof","LC-ESI","Positive","3","2.01843","0.808802","2703.48","N Auzeil","10","CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","CCMSLIB00005724083","Inf,Con","AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,1,2","3,0,1,2","0","6366","7","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","1941.496208333335","13669.106801470592","14563.50999264707","12484.76256617649","0.0","0.0","27315.429447368442","0.0","0.0","2371.8435370370344","7823.83412962962","3398.559222222218","0.0","0.0","15823.409648148167","0.0","0.0","0.0","0.0","0.0","0.0","8992.85358333334","10383.648000000007","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6366.0"",""main.cluster index_upperinput"":""6366.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","6366","12","744.5876","","744.5876","18.3869","18.3869","false","6366","","","","1556979.4785000011","N/A"
"M+NH4","N/A","M+H","PE(18:2/0:0); [M+H]+ C23H45N1O7P1","Commercial","Thomas Metz","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003096447","N/A","HCD; Velos","LC-ESI","Positive","1","1.0062","0.8607540000000001","2108.16","Thomas Metz","14","N/A","CCMSLIB00003096447","Inf,Starved,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","100","7","NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid","isolated","lfnothias","N/A","0.0","0.0","0.0","0.0","0.0","0.0","133703.21361111122","203059.6342132354","244115.42016176478","229136.89064705878","257462.21663888893","0.0","417075.6130877195","0.0","190591.05575925912","174938.60722222234","187900.69738888927","184476.7867901236","0.0","167302.85716666662","243084.296","0.0","74304.81126666682","0.0","42762.22930701762","123841.35211111137","123841.35211111137","277694.56608888897","133888.01052777783","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000845585","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""100.0"",""main.cluster index_upperinput"":""100.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=5a6231ed03724b088fa0055e33397038&show=true","InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)","Maxis II HD Q-TOF Bruker","LC-ESI","positive","1","0.00521851","0.829261","10.9108","100","148","478.2922","Jadhav/Dorrestein","478.2922","10.3192","10.3192","false","100","11","CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(O)=O","CCMSLIB00000845585","3.5747019875000045E7","N/A"
"","N/A","M+H","PC(0:0/18:1); [M+H]+ C26H53N1O7P1","Commercial","Thomas Metz","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003088790","N/A","HCD; Lumos","LC-ESI","Positive","1","36.0305","0.821282","69110.3","Thomas Metz","7","N/A","CCMSLIB00003088790","Inf,Starved,Con","PM,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","3478","53","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","6271.31943055556","36996.582308823534","50650.14683823529","53503.5305735294","79649.68516666668","0.0","17147.252675438598","0.0","68483.79227777774","52244.099851851846","77826.34283333328","66184.7449876543","0.0","0.0","35730.683469135816","0.0","7222.961833333343","0.0","129580.71456140348","12038.269722222238","12038.269722222238","72291.66670555554","24290.273631944445","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3478.0"",""main.cluster index_upperinput"":""3478.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=53&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","3478","42","485.3175","","485.3175","10.8378","10.8378","false","3478","","","","8363494.132499998","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","3,0,1,2","0","2480","17","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","6944.669833333334","3216.7349117647086","5276.324735294114","6773.395205882356","0.0","0.0","353.58566666666525","0.0","8202.726203703705","4628.585944444429","6246.772592592603","6359.361580246912","0.0","8958.617903508775","4771.7207160493845","0.0","0.0","0.0","6505.650219298243","0.0","0.0","8898.300361111113","1399.5921319444433","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2480.0"",""main.cluster index_upperinput"":""2480.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","2480","35","300.8497","","300.8497","5.2469","5.2469","false","2480","","","","901617.6659999999","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","3,1,2","No_timepoint,3,0,1,2","0","7261","28","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","38816.65356944444","19033.691095588252","35251.39519117648","25892.166595588227","0.0","0.0","33532.781061403526","248744.0874285714","0.0","0.0","0.0","0.0","349091.1123333335","24531.718692982467","19697.745154320986","290201.43533333327","243894.53396666676","231311.75833333307","3562.2854210526293","213023.26638888905","213023.26638888905","9060.424572222222","10834.432583333333","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""7261.0"",""main.cluster index_upperinput"":""7261.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=28&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","7261","17","794.5471","","794.5471","16.457","16.457","false","7261","","","","5253935.3670000015","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Con","H,PM,AM","T.cruzi_epi,R.prolixus_starved","3,c2,c1,1","No_timepoint,3,1","0","12249","2","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2363.1364632352893","0.0","473.30157352941603","0.0","0.0","432.85525438596073","0.0","1641.9992777777668","1638.3501851851843","0.0","1093.4498209876504","0.0","1201.5094561403557","496.81596296296493","0.0","1588.2776666666641","0.0","1043.4544736842063","2647.12944444444","2647.12944444444","1431.2392055555538","0.0","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""12249.0"",""main.cluster index_upperinput"":""12249.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","12249","8","728.4036","","728.4036","13.7477","13.7477","false","12249","","","","152635.6934999998","N/A"
"","N/A","M-H","Coumestrol - 30eV","Isolated","Sumner","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00004683569","InChI=1S/C15H8O5/c16-7-1-3-9-11(5-7)19-14-10-4-2-8(17)6-12(10)20-15(18)13(9)14/h1-6,16-17H","impact HD","LC-ESI","Negative","3","2.05438","0.869914","7693.02","Sumner","6","c1cc2c(cc1O)oc3c2c(=O)oc4c3ccc(c4)O","CCMSLIB00004683569","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,3,0,1,2","0","342","174","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","87607.63102777784","10953.456183823533","7417.964948529417","4759.552705882351","0.0","0.0","21865.03078947371","30663.652499999956","75043.17638888901","49364.80498148149","11233.304777777765","45213.762049382756","36463.89983333328","22131.441719298273","4921.779043209877","35774.261249999945","17809.20046666664","35084.62266666662","28169.6900877193","5832.493277777769","5832.493277777769","1118.8209944444436","55003.957486111154","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""342.0"",""main.cluster index_upperinput"":""342.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=174&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","342","40","269.0994","","269.0994","12.0581","12.0581","false","342","","","","4328116.835500002","N/A"
"","N/A","[M+NH4]+","NCGC00168949-02!(2R,3R,4S,5S,6R)-2-[[7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol [IIN-based: Match]","Commercial","lfnothias/robinschmid","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005721276","InChI=1S/C28H38O13/c1-36-16-7-13(8-17(37-2)22(16)31)20-15(11-40-28-26(35)25(34)23(32)19(10-30)41-28)14(9-29)5-12-6-18(38-3)24(33)27(39-4)21(12)20/h6-8,14-15,19-20,23,25-26,28-35H,5,9-11H2,1-4H3/t14?,15?,19-,20?,23-,25+,26-,28-/m1/s1","qTof","LC-ESI","Positive","3","17.1864","0.838167","28631.3","Pieter Dorrestein","6","COC1=CC(=CC(OC)=C1O)C2C(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(CO)CC4=C2C(OC)=C(O)C(OC)=C4","CCMSLIB00005721276","Inf,Con","PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","3,0,1,2","0","6409","58","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","8423.918541666653","13163.74447058823","6987.872933823527","8929.074661764704","0.0","0.0","19075.51471052631","0.0","1017.4131111111225","1009.141925925931","2461.2015185185196","1495.9188518518579","0.0","0.0","13330.732722222212","0.0","0.0","0.0","1993.9375263157897","0.0","0.0","3068.5369333333415","12844.311854166652","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6409.0"",""main.cluster index_upperinput"":""6409.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=58&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","6409","18","617.4528","","617.4528","20.0967","20.0967","false","6409","","","","1200958.7774999996","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","169","17","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","278393.64787499985","103926.3265588235","131130.68428676474","124985.53751470592","237115.18408333338","0.0","179345.5125263158","20423.92507142858","205326.33025925903","236424.03401851878","198764.5813518518","213504.9818765432","16807.68716666669","140739.10964035086","129821.52405555555","23827.912583333346","29876.499766666675","30848.138000000006","173154.4480350877","33908.89122222223","33908.89122222223","206716.4904777778","127846.70607638883","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""169.0"",""main.cluster index_upperinput"":""169.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","169","138","430.2431","","430.2431","5.1289","5.1289","false","169","","","","2.8257594476999998E7","N/A"
"","N/A","M+H","PE(18:0/20:4); [M+H]+ C43H79N1O8P1","Commercial","Thomas Metz","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003120687","N/A","HCD; Velos","LC-ESI","Positive","1","1.01288","0.7302960000000001","1319.63","Thomas Metz","13","N/A","CCMSLIB00003120687","Inf,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","4,3,0,1,2","0","958","7","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","29856.828763888858","206965.36753676462","391156.5644852942","374996.78997058835","735430.9736111114","0.0","834340.8730350878","0.0","246696.5342222224","218596.20027777777","300083.42794444435","255125.3874814815","0.0","40686.22043859647","369256.2967283951","0.0","0.0","0.0","12252.141982456144","0.0","0.0","549395.5205722223","15684.994020833328","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""958.0"",""main.cluster index_upperinput"":""958.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","958","30","766.5341","","766.5341","20.2139","20.2139","false","958","","","","5.057491642100001E7","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,ACN,PM,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,ACN","c3,3,c2,c1,1,2,ACN","No_timepoint,4,3,0,1,2,ACN","0","573","45","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","28923.562694444438","35752.27540441177","34907.637808823536","34982.65752941177","42990.914611111104","127704.28349999989","33893.542684210544","18243.469071428557","40938.16664814815","33291.99729629631","40610.827444444425","38280.330462962964","0.0","28514.12936842104","33780.558672839514","0.0","28374.81720000002","0.0","47461.701245614044","47291.36200000003","47291.36200000003","28372.569833333335","45602.787986111114","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""573.0"",""main.cluster index_upperinput"":""573.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=45&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","573","56","457.3492","","457.3492","13.0476","13.0476","false","573","","","","6390258.561500001","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","4,3,0,1,2","0","2358","17","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","19856.78255555556","10040.85166176471","11025.139124999998","11702.422551470589","27629.33147222221","0.0","16100.701377192976","0.0","26097.620055555573","22330.34029629628","16900.727592592593","21776.229314814816","0.0","14267.40029824562","10349.072043209877","0.0","0.0","0.0","15283.642359649124","0.0","0.0","24544.13041111111","5460.801013888889","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2358.0"",""main.cluster index_upperinput"":""2358.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","2358","90","429.2354","","429.2354","5.7443","5.7443","false","2358","","","","2602149.4100000006","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,ACN,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,Extraction_blank,ACN","c3,3,c2,c1,1,2,ACN","No_timepoint,3,0,1,2,ACN","0","516","3","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","42939.99368055555","31071.7792867647","28204.152742647057","20848.50905147058","0.0","131361.87199999992","21746.70896491229","50766.55285714283","31195.78231481481","30837.289629629617","34477.350092592606","32170.140679012344","74667.9993333333","28072.3585350877","24497.475888888883","37333.99966666665","27995.285133333335","0.0","34145.88374561403","21769.47544444446","21769.47544444446","5430.395633333335","56963.07409722221","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""516.0"",""main.cluster index_upperinput"":""516.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","516","46","282.2788","","282.2788","11.8757","11.8757","false","516","","","","5141368.090999998","N/A"
"","N/A","M+H","Bisu-13","Lysate","S Jarmusch","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005724361","InChI=1S/C26H46N4O7/c31-22-13-7-3-1-2-4-8-14-25(34)29(36)19-11-5-9-17-27-23(32)15-16-26(35)30(37)20-12-6-10-18-28-24(33)21-22/h36-37H,1-21H2,(H,27,32)(H,28,33)","qTof","LC-ESI","Positive","3","13.0779","0.771275","24799.4","Jaspars","7","O=C(NCCCCCN(O)C1=O)CCC(N(O)CCCCCNC(CC(CCCCCCCC1)=O)=O)=O","CCMSLIB00005724361","Inf,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","4,3,0,1,2","0","360","17","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","99801.38625000003","32224.5767132353","36973.30641176473","31008.240639705862","81336.42997222231","0.0","40314.940622807","0.0","99646.96387037038","110424.46368518521","67973.49694444447","92681.64150000003","0.0","62764.910622807016","26936.475919753095","0.0","0.0","0.0","66903.78929824567","0.0","0.0","77508.78541111114","37684.40033333333","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""360.0"",""main.cluster index_upperinput"":""360.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","360","69","540.4249","","540.4249","11.1532","11.1532","false","360","","","","9689067.511000004","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","40","3","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","1066775.3645416677","934730.4946617641","1265382.4239191175","1379723.2570294114","2726396.385416667","0.0","1315487.7531754393","1162691.3532857157","1423847.722351851","1368074.261537036","1253513.783759258","1348478.5892160481","1107140.2459999972","1521145.4024649113","1251602.2879135804","1356473.2455000016","1261438.1089333368","1605806.245000006","1047389.3567894731","1198081.3512222269","1198081.3512222269","1819176.6596388875","651120.1622222227","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""40.0"",""main.cluster index_upperinput"":""40.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","40","148","338.3411","","338.3411","14.7143","14.7143","false","40","","","","2.2952812268150005E8","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","3265","6","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","136115.27518055565","96562.4781985295","99802.2981102941","118296.11963235302","168079.71558333357","0.0","122753.24996491229","184030.13964285734","103732.4411111113","120239.72433333348","127714.93268518524","117229.03270987667","222191.74100000062","109205.87294736857","102921.27037037039","214701.82958333354","210248.55076666697","207211.9181666665","113614.41802631588","207279.69822222256","207279.69822222256","149957.2745055557","60222.49783333333","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3265.0"",""main.cluster index_upperinput"":""3265.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","3265","144","680.4788","","680.4788","17.8598","17.8598","false","3265","","","","2.098590281100002E7","N/A"
